,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
51.0,20/10/2021,17:30:00,Eurocup,Ulm,Buducnost,1.59,2.35,79.0,76.0,Assos,155.0,155.5,Under,0.5,79.0,86.0
52.0,20/10/2021,18:00:00,Eurocup,JL Bourg,Venezia,1.68,2.19,78.0,77.0,Assos,155.0,154.5,Over,0.5,62.0,73.0
53.0,20/10/2021,18:15:00,Champions-League,Unicaja,Lavrio,1.12,6.01,87.0,72.0,Assos,159.0,156.0,Over,3.0,86.0,70.0
54.0,20/10/2021,18:30:00,Euroleague,Anadolu Efes,Unics Kazan,1.11,6.89,89.0,75.0,Assos,164.0,161.5,Over,2.5,71.0,68.0
55.0,21/10/2021,17:00:00,Euroleague,Zalgiris Kaunas,Bayern,2.32,1.63,73.0,77.0,Diplo,150.0,150.5,Under,0.5,73.0,75.0
56.0,21/10/2021,17:00:00,Euroleague,Maccabi Tel Aviv,Panathinaikos,1.37,3.19,82.0,77.0,Assos,159.0,156.5,Over,2.5,77.0,73.0
57.0,21/10/2021,18:05:00,Euroleague,Olimpia Milano,Lyon-Villeurbanne,1.21,4.6,83.0,73.0,Assos,156.0,155.5,Over,0.5,73.0,72.0
58.0,21/10/2021,18:30:00,Euroleague,Real Madrid,Fenerbahce,1.31,3.59,84.0,77.0,Assos,161.0,157.5,Over,3.5,70.0,69.0
59.0,22/10/2021,18:00:00,LNB,Gravelines-Dunkerque,Strasbourg,1.78,2.03,77.0,76.0,Assos,153.0,155.0,Under,2.0,83.0,95.0
60.0,22/10/2021,18:30:00,LNB,Dijon,Roanne,1.11,6.57,88.0,75.0,Assos,163.0,161.5,Over,1.5,102.0,77.0
61.0,22/10/2021,18:30:00,BBL,Oldenburg,Hamburg,1.47,2.71,85.0,80.0,Assos,165.0,164.5,Over,0.5,77.0,79.0
62.0,23/10/2021,15:45:00,LNB,Orleans,Levallois,3.09,1.39,75.0,81.0,Diplo,156.0,156.5,Under,0.5,84.0,90.0
63.0,23/10/2021,16:00:00,ACB,Basket Zaragoza,Breogan,1.71,2.18,77.0,76.0,Assos,153.0,155.5,Under,2.5,79.0,75.0
